번호	문제	정답	선지1	선지2	선지3
1	\((-4) × (+2) × (+3)	\(-24	\(-9	\(-1	\(+24
2	\((-2) × (-7) × (-5)	\(-70	\(-14	\(+14	\(+70
3	\((-6) × (+11) × (-5)	\(+330	\(+22	0	\(22
4	\((+4) × (+3) × (-5)	\(-60	\(-12	\(+2	\(+12
5	\((-2) × (+6) × (-15)	\(+180	23	\(11	\(180
6	\((-2) × (+5) × (-3)	\(+30	\(-30	\(-10	\(+10
7	\((+25) × (-7) × (+4)	\(-700	\(-36	\(+36	\(+700
8	\((+15) × (-5) × (+4)	\(-300	\(-24	\(+24	\(+300
9	\((+6) × (-5) × (+9)	\(-270	\(-360	\(+270	\(+360
10	\((-5) × (+7) × (-8)	\(+280	\(-320	\(-280	\(+320
11	\((-5) × (-11) × (+2)	\(+110	\(-18	\(+77	\(-52
12	\((+6) × (+1.5) × (+5)	\(+45	\(-12.5	\(-45	\(+12.5
13	\((+2) × (+4) × (+5)	\(+40	\(-40	\(-11	\(+11
14	\((+3) × (+4) × (-2)	\(-24	\(-9	\(+9	\(+24
15	\((+2) × (-3) × (-5)	\(+30	\(-23	\(-10	\(+10
16	\((-2) × (-5) × (-4)	\(-40	\(-11	\(+11	\(+40
17	\((+2) × (+6) × (+3)	\(+36	\(-11	\(-4	\(+26
18	\((+2) × (+3) × (+4) × (-5)	\(-120	\(-14	\(+4	\(+120
19	\((+3) × (-2) × (+5)	\(-30	\(-10	\(+10	\(+30
20	\((-2) × (+3) × (-7)	\(+42	\(+17	\(-17	\(-42
21	\((-3) × (-4) × (-5)	-60	-120	+60	+120
22	\((+2) × (-5) × (+3) × (-7)	\(+210	\(-420	\(-210	\(+420
23	\((-3) × (-6) × (+4) × (-5)	\(-360	\(-420	\(+360	\(+420
24	\((-4) × (+9) × (-5)	\(+180	\(-240	\(-180	\(+240
25	\((-8) × (+2) × (-4) × (-3)	\(-192	\(-216	\(+192	\(+216
