번호	문제	정답	선지1	선지2	선지3
1	\((+3) ÷ (-2)^3 × (-12)	\(+ $9 \over 2 $	\(- $9 \over 2 $	\(- $3 \over 2 $	\(+ $3 \over 2 $
2	\((-12) × (+3) ÷ (-2)^3	\(+ $9 \over 2 $	\(- $9 \over 2 $	\(- $3 \over 2 $	\(+ $3 \over 2 $
3	\((+6) ÷ (-3) × (+4)	\(-8	\(-4	4	8
4	\((+4) × (+6) ÷ (-3)	\(-8	\(-4	4	8
5	\(2 ÷ $4 \over 3 $ × 6 	9	\(-9	\(-3	3
6	\(6 × 2 ÷ $4 \over 3 $ 	9	\(-9	\(-3	3
7	\($18 \over 7 $ × \bigg(- $4 \over 3 $\bigg) ÷ 3	\(- $8 \over 7 $	\(- $4 \over 7 $	\(+ $4 \over 7 $	\(+ $8 \over 7 $
8	\(\bigg(- $4 \over 3 $\bigg) ÷ 3 × $18 \over 7 $ 	\(- $8 \over 7 $	\(- $4 \over 7 $	\(+ $4 \over 7 $	\(+ $8 \over 7 $
9	\(\bigg(- $3 \over 4 $\bigg) ÷ \bigg(- $9 \over 2 $\bigg) × 3	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 4 $	\(+ $1 \over 4 $
10	\(3 × \bigg(- $3 \over 4 $\bigg) ÷ \bigg(- $9 \over 2 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 4 $	\(+ $1 \over 4 $
11	\($12 \over 5 $ × (-8) ÷ \bigg(-  $6 \over 5 $\bigg)	16	\(-24	\(-16	24
12	\((-8) × $12 \over 5 $ ÷ \bigg(- $6 \over 5 $\bigg)  	16	\(-24	\(-16	24
13	\(\bigg(- $9 \over 10 $\bigg) × $2 \over 3 $ ÷ \bigg(- $6 \over 5 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 5 $	\(+ $1 \over 5 $
14	\($2 \over 3 $ × \bigg(- $9 \over 10 $\bigg) ÷ \bigg(- $6 \over 5 $\bigg)	\(+ $1 \over 2 $	\(- $1 \over 2 $	\(- $1 \over 5 $	\(+ $1 \over 5 $
